PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
OTZBERG;Keine Angabe;;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64546 Mörfelden;Keine Angabe;;;;;;;;;;
65201,00;65201;65201;;;;;;;;;
64807,00;64807;64807;;;;;;;;;
65201,00;65201;65201;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
69483,00;69483;69483;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
Pfungstadt;64319;64319;;;;;;;;;
63322,00;63322;63322;;;;;;;;;
63322,00;63322;63322;;;;;;;;;
69190,00;69190;69190;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
60546,00;60546;60546;;;;;;;;;
Wetzlar;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Weltzlar;Keine Angabe;;;;;;;;;;
35578,00;35578;35578;;;;;;;;;
52070,00;52070;52070;;;;;;;;;
64404,00;64404;64404;;;;;;;;;
35614,00;35614;35614;;;;;;;;;
Gaggenau;Keine Angabe;;;;;;;;;;
36039,00;36039;36039;;;;;;;;;
58509,00;58509;58509;;;;;;;;;
Gaggenau;Keine Angabe;;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
60439,00;60439;60439;;;;;;;;;
76133,00;76133;76133;;;;;;;;;
68163,00;68163;68163;;;;;;;;;
72622,00;72622;72622;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
70771,00;70771;70771;;;;;;;;;
64579,00;64579;64579;;;;;;;;;
36037,00;36037;36037;;;;;;;;;
68623,00;68623;68623;;;;;;;;;
35452,00;35452;35452;;;;;;;;;
68623,00;68623;68623;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
35683,00;35683;35683;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
74706,00;74706;74706;;;;;;;;;
68519,00;68519;68519;;;;;;;;;
67454,00;67454;67454;;;;;;;;;
22085,00;22085;22085;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
Wiesbaden;55246;55246;;;;;;;;;
64291,00;64291;64291;;;;;;;;;
35683,00;35683;35683;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64390,00;64390;64390;;;;;;;;;
76131,00;76131;76131;;;;;;;;;
35683,00;35683;35683;;;;;;;;;
90482,00;90482;90482;;;;;;;;;
53844f;Keine Angabe;;;;;;;;;;
Bad Saulgau;Keine Angabe;;;;;;;;;;
3895,00;3895;3895;;;;;;;;;
64646,00;64646;64646;;;;;;;;;
52070,00;52070;52070;;;;;;;;;
60433,00;60433;60433;;;;;;;;;
Ostfildern;Keine Angabe;;;;;;;;;;
65934,00;65934;65934;;;;;;;;;
Bergisch Gladbac;Keine Angabe;;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
53229,00;53229;53229;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
60314,00;60314;60314;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
56333,00;56333;56333;;;;;;;;;
63911,00;63911;63911;;;;;;;;;
Wiesbaden;55246;55246;;;;;;;;;
64646,00;64646;64646;;;;;;;;;
64367,00;64367;64367;;;;;;;;;
65779,00;65779;65779;;;;;;;;;
65779,00;65779;65779;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
64291,00;64291;64291;;;;;;;;;
65183,00;65183;65183;;;;;;;;;
70173,00;70173;70173;;;;;;;;;
70173,00;70173;70173;;;;;;;;;
Faulbach;Keine Angabe;;;;;;;;;;
Faulbach;Keine Angabe;;;;;;;;;;
70173,00;70173;70173;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
;Keine Angabe;;;;;;;;;;
74706,00;74706;74706;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Wiesbaden;55246;55246;;;;;;;;;
74706,00;74706;74706;;;;;;;;;
98693,00;98693;98693;;;;;;;;;
69168,00;69168;69168;;;;;;;;;
64342,00;64342;64342;;;;;;;;;
Rödermark;63322;63322;;;;;;;;;
63322,00;63322;63322;;;;;;;;;
74722,00;74722;74722;;;;;;;;;
58791,00;58791;58791;;;;;;;;;
Bad Saulgau;Keine Angabe;;;;;;;;;;
3895,00;3895;3895;;;;;;;;;
47877,00;47877;47877;;;;;;;;;
Nürtingen;Keine Angabe;;;;;;;;;;
70563,00;70563;70563;;;;;;;;;
Rimbach;Keine Angabe;;;;;;;;;;
Siegsdorf;Keine Angabe;;;;;;;;;;
68623,00;68623;68623;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
65193,00;65193;65193;;;;;;;;;
63179,00;63179;63179;;;;;;;;;
50667,00;50667;50667;;;;;;;;;
60329 Frankfurt ;Keine Angabe;;;;;;;;;;
64367,00;64367;64367;;;;;;;;;
65183,00;65183;65183;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
69190,00;69190;69190;;;;;;;;;
69454 Walldorf;Keine Angabe;;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
60320,00;60320;60320;;;;;;;;;
64291,00;64291;64291;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Wiesbaden;55246;55246;;;;;;;;;
64823,00;64823;64823;;;;;;;;;
65185,00;65185;65185;;;;;;;;;
16761,00;16761;16761;;;;;;;;;
63263,00;63263;63263;;;;;;;;;
78727,00;78727;78727;;;;;;;;;
;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
;Keine Angabe;;;;;;;;;;
16761,00;16761;16761;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
;Keine Angabe;;;;;;;;;;
41061,00;41061;41061;;;;;;;;;
60322,00;60322;60322;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Dietzenbach;Keine Angabe;;;;;;;;;;
76829,00;76829;76829;;;;;;;;;
64546,00;64546;64546;;;;;;;;;
64546,00;64546;64546;;;;;;;;;
54294,00;54294;54294;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Hanau-Wolfgang;Keine Angabe;;;;;;;;;;
36039,00;36039;36039;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
Eggenstein;Keine Angabe;;;;;;;;;;
12359,00;12359;12359;;;;;;;;;
4582,00;4582;4582;;;;;;;;;
59846,00;59846;59846;;;;;;;;;
88255,00;88255;88255;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
63526,00;63526;63526;;;;;;;;;
64823,00;64823;64823;;;;;;;;;
68623,00;68623;68623;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
60435,00;60435;60435;;;;;;;;;
67655,00;67655;67655;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
90329,00;90329;90329;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
28207,00;28207;28207;;;;;;;;;
0,00;0;0;;;;;;;;;
;Keine Angabe;;;;;;;;;;
35390,00;35390;35390;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
73235,00;73235;73235;;;;;;;;;
83115,00;83115;83115;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
Gernsheim;Keine Angabe;;;;;;;;;;
35578,00;35578;35578;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
21337,00;21337;21337;;;;;;;;;
64342,00;64342;64342;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
91154,00;91154;91154;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
35435,00;35435;35435;;;;;;;;;
01139;Keine Angabe;;;;;;;;;;
63110,00;63110;63110;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
97922,00;97922;97922;;;;;;;;;
77933,00;77933;77933;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
42275,00;42275;42275;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
42275,00;42275;42275;;;;;;;;;
65185,00;65185;65185;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
56564,00;56564;56564;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
Gernsheim;Keine Angabe;;;;;;;;;;
64665,00;64665;64665;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
Kassel;34117;34117;;;;;;;;;
34117,00;34117;34117;;;;;;;;;
34117,00;34117;34117;;;;;;;;;
64658,00;64658;64658;;;;;;;;;
60313,00;60313;60313;;;;;;;;;
64832,00;64832;64832;;;;;;;;;
privat;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
63329,00;63329;63329;;;;;;;;;
56068,00;56068;56068;;;;;;;;;
41065,00;41065;41065;;;;;;;;;
Bonn;53111;53111;;;;;;;;;
Oldenburg;26121;26121;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
35037,00;35037;35037;;;;;;;;;
68623,00;68623;68623;;;;;;;;;
73235,00;73235;73235;;;;;;;;;
;Keine Angabe;;;;;;;;;;
87527,00;87527;87527;;;;;;;;;
67061,00;67061;67061;;;;;;;;;
Nürnberg;90402;90402;;;;;;;;;
64291,00;64291;64291;;;;;;;;;
Bonn;53111;53111;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
65817,00;65817;65817;;;;;;;;;
;Keine Angabe;;;;;;;;;;
65185,00;65185;65185;;;;;;;;;
56564,00;56564;56564;;;;;;;;;
91056,00;91056;91056;;;;;;;;;
Köln;50667;50667;;;;;;;;;
;Keine Angabe;;;;;;;;;;
34225,00;34225;34225;;;;;;;;;
Metelen;Keine Angabe;;;;;;;;;;
16761,00;16761;16761;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
63505,00;63505;63505;;;;;;;;;
65817,00;65817;65817;;;;;;;;;
79288,00;79288;79288;;;;;;;;;
79288,00;79288;79288;;;;;;;;;
79288,00;79288;79288;;;;;;;;;
Bonn;53111;53111;;;;;;;;;
38112,00;38112;38112;;;;;;;;;
;Keine Angabe;;;;;;;;;;
69488,00;69488;69488;;;;;;;;;
56564,00;56564;56564;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
Kassel;34117;34117;;;;;;;;;
34117,00;34117;34117;;;;;;;;;
10115,00;10115;10115;;;;;;;;;
Rostock;17166;17166;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
51465,00;51465;51465;;;;;;;;;
Wiesbaden;55246;55246;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
73235,00;73235;73235;;;;;;;;;
65817,00;65817;65817;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
30855,00;30855;30855;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
74889,00;74889;74889;;;;;;;;;
35435,00;35435;35435;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
51465,00;51465;51465;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Gaggenau;Keine Angabe;;;;;;;;;;
76571,00;76571;76571;;;;;;;;;
Gernsheim;Keine Angabe;;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
Bonn;53111;53111;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
68623,00;68623;68623;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
Ostfildern;Keine Angabe;;;;;;;;;;
Seelbach;Keine Angabe;;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
68623,00;68623;68623;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
60439,00;60439;60439;;;;;;;;;
60386,00;60386;60386;;;;;;;;;
56068,00;56068;56068;;;;;;;;;
70174,00;70174;70174;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
44139,00;44139;44139;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
;Keine Angabe;;;;;;;;;;
70174,00;70174;70174;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
44139,00;44139;44139;;;;;;;;;
60311,00;60311;60311;;;;;;;;;
30827,00;30827;30827;;;;;;;;;
64331,00;64331;64331;;;;;;;;;
Rostock;17166;17166;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
22047,00;22047;22047;;;;;;;;;
22047,00;22047;22047;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
65197,00;65197;65197;;;;;;;;;
35390,00;35390;35390;;;;;;;;;
;Keine Angabe;;;;;;;;;;
60435,00;60435;60435;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64293 Darmstadt;Keine Angabe;;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
40764,00;40764;40764;;;;;;;;;
Groß-Gerau;64521;64521;;;;;;;;;
61169,00;61169;61169;;;;;;;;;
60313,00;60313;60313;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64653,00;64653;64653;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
65189,00;65189;65189;;;;;;;;;
;Keine Angabe;;;;;;;;;;
65510,00;65510;65510;;;;;;;;;
;Keine Angabe;;;;;;;;;;
34225,00;34225;34225;;;;;;;;;
Hamburg;20095;20095;;;;;;;;;
63743,00;63743;63743;;;;;;;;;
28359,00;28359;28359;;;;;;;;;
67655,00;67655;67655;;;;;;;;;
;Keine Angabe;;;;;;;;;;
16761,00;16761;16761;;;;;;;;;
73235,00;73235;73235;;;;;;;;;
53111,00;53111;53111;;;;;;;;;
Wangen;Keine Angabe;;;;;;;;;;
40210,00;40210;40210;;;;;;;;;
29313,00;29313;29313;;;;;;;;;
64832,00;64832;64832;;;;;;;;;
70191,00;70191;70191;;;;;;;;;
Stuttgart;70173;70173;;;;;;;;;
60329,00;60329;60329;;;;;;;;;
70569,00;70569;70569;;;;;;;;;
70569,00;70569;70569;;;;;;;;;
Wuppertal;42103;42103;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
06766;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Wangen;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
34125,00;34125;34125;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64372,00;64372;64372;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
;Keine Angabe;;;;;;;;;;
63743,00;63743;63743;;;;;;;;;
;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
64653 Lorsch;Keine Angabe;;;;;;;;;;
40764,00;40764;40764;;;;;;;;;
65760,00;65760;65760;;;;;;;;;
90429,00;90429;90429;;;;;;;;;
64291,00;64291;64291;;;;;;;;;
63911 / Klingenb;Keine Angabe;;;;;;;;;;
63911 Klingenber;Keine Angabe;;;;;;;;;;
65760,00;65760;65760;;;;;;;;;
60316,00;60316;60316;;;;;;;;;
Ailertchen;Keine Angabe;;;;;;;;;;
35444,00;35444;35444;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Hamburg;20095;20095;;;;;;;;;
Bad Honnef;Keine Angabe;;;;;;;;;;
56379,00;56379;56379;;;;;;;;;
91719,00;91719;91719;;;;;;;;;
16761,00;16761;16761;;;;;;;;;
34488,00;34488;34488;;;;;;;;;
Nördlingen;Keine Angabe;;;;;;;;;;
70191,00;70191;70191;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
44139,00;44139;44139;;;;;;;;;
20459,00;20459;20459;;;;;;;;;
Montabaur;Keine Angabe;;;;;;;;;;
63654,00;63654;63654;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
49186,00;49186;49186;;;;;;;;;
Stuttgart;70173;70173;;;;;;;;;
74 321 Bietighei;Keine Angabe;;;;;;;;;;
51379,00;51379;51379;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
78052,00;78052;78052;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
60316,00;60316;60316;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Ailertchen;Keine Angabe;;;;;;;;;;
63654,00;63654;63654;;;;;;;;;
Villingen-Schwen;Keine Angabe;;;;;;;;;;
Konstanz;78224;78224;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Hamburg;20095;20095;;;;;;;;;
Ailertchen;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Rostock;17166;17166;;;;;;;;;
22047,00;22047;22047;;;;;;;;;
22047,00;22047;22047;;;;;;;;;
49393,00;49393;49393;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64380,00;64380;64380;;;;;;;;;
78052,00;78052;78052;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Villingen-Schwen;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
70569,00;70569;70569;;;;;;;;;
36043,00;36043;36043;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
70771,00;70771;70771;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
73235,00;73235;73235;;;;;;;;;
81373,00;81373;81373;;;;;;;;;
83115,00;83115;83115;;;;;;;;;
22926 Ahrensburg;Keine Angabe;;;;;;;;;;
22926,00;22926;22926;;;;;;;;;
22926,00;22926;22926;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
76137,00;76137;76137;;;;;;;;;
Borgentreich;Keine Angabe;;;;;;;;;;
70771,00;70771;70771;;;;;;;;;
78052,00;78052;78052;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
63791,00;63791;63791;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Villingen-Schwen;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Ilmenau;Keine Angabe;;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
35753,00;35753;35753;;;;;;;;;
76571,00;76571;76571;;;;;;;;;
35753,00;35753;35753;;;;;;;;;
35753,00;35753;35753;;;;;;;;;
65205,00;65205;65205;;;;;;;;;
67354,00;67354;67354;;;;;;;;;
65205,00;65205;65205;;;;;;;;;
65205,00;65205;65205;;;;;;;;;
76571,00;76571;76571;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
97941,00;97941;97941;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
74855,00;74855;74855;;;;;;;;;
65936,00;65936;65936;;;;;;;;;
;Keine Angabe;;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
64331,00;64331;64331;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
63911 Klingenber;Keine Angabe;;;;;;;;;;
53115,00;53115;53115;;;;;;;;;
Ailertchen;Keine Angabe;;;;;;;;;;
Heidelberg;69115;69115;;;;;;;;;
60486,00;60486;60486;;;;;;;;;
63599,00;63599;63599;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
68307,00;68307;68307;;;;;;;;;
;Keine Angabe;;;;;;;;;;
60320,00;60320;60320;;;;;;;;;
60435,00;60435;60435;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
64390,00;64390;64390;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
65428,00;65428;65428;;;;;;;;;
64720,00;64720;64720;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
60438,00;60438;60438;;;;;;;;;
64572,00;64572;64572;;;;;;;;;
Seeheim-Jugenhei;Keine Angabe;;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
75015,00;75015;75015;;;;;;;;;
65185,00;65185;65185;;;;;;;;;
60438,00;60438;60438;;;;;;;;;
60325,00;60325;60325;;;;;;;;;
65931,00;65931;65931;;;;;;;;;
28309,00;28309;28309;;;;;;;;;
69168,00;69168;69168;;;;;;;;;
06766;Keine Angabe;;;;;;;;;;
60314,00;60314;60314;;;;;;;;;
;Keine Angabe;;;;;;;;;;
69221,00;69221;69221;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
Mühltal;Keine Angabe;;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
65549,00;65549;65549;;;;;;;;;
33659,00;33659;33659;;;;;;;;;
33659,00;33659;33659;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
Rostock;17166;17166;;;;;;;;;
65189,00;65189;65189;;;;;;;;;
Darmstadtt;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
68542,00;68542;68542;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
06766;Keine Angabe;;;;;;;;;;
55028,00;55028;55028;;;;;;;;;
64293 Darmstadt;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Grünberg;Keine Angabe;;;;;;;;;;
Grünberg;Keine Angabe;;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Biblis;Keine Angabe;;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
64367,00;64367;64367;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64720,00;64720;64720;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
28209,00;28209;28209;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
60386,00;60386;60386;;;;;;;;;
33100,00;33100;33100;;;;;;;;;
Bühl;Keine Angabe;;;;;;;;;;
86157,00;86157;86157;;;;;;;;;
64673,00;64673;64673;;;;;;;;;
72293,00;72293;72293;;;;;;;;;
60438,00;60438;60438;;;;;;;;;
01326;Keine Angabe;;;;;;;;;;
01277;Keine Angabe;;;;;;;;;;
44227,00;44227;44227;;;;;;;;;
Dortmund;44135;44135;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
;Keine Angabe;;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
Langenselbold;Keine Angabe;;;;;;;;;;
Langenselbold;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
60320,00;60320;60320;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
18184,00;18184;18184;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
;Keine Angabe;;;;;;;;;;
56070,00;56070;56070;;;;;;;;;
56626,00;56626;56626;;;;;;;;;
68542,00;68542;68542;;;;;;;;;
06766;Keine Angabe;;;;;;;;;;
63322,00;63322;63322;;;;;;;;;
18184,00;18184;18184;;;;;;;;;
61169,00;61169;61169;;;;;;;;;
90329,00;90329;90329;;;;;;;;;
64546,00;64546;64546;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
64297,00;64297;64297;;;;;;;;;
55218,00;55218;55218;;;;;;;;;
Mering;Keine Angabe;;;;;;;;;;
99706,00;99706;99706;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
60435,00;60435;60435;;;;;;;;;
36358,00;36358;36358;;;;;;;;;
Rostock;17166;17166;;;;;;;;;
35428,00;35428;35428;;;;;;;;;
01809;Keine Angabe;;;;;;;;;;
55218,00;55218;55218;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
35232,00;35232;35232;;;;;;;;;
Brunico;Keine Angabe;;;;;;;;;;
40764,00;40764;40764;;;;;;;;;
65193,00;65193;65193;;;;;;;;;
40764,00;40764;40764;;;;;;;;;
60320,00;60320;60320;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
;Keine Angabe;;;;;;;;;;
63868,00;63868;63868;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Pfungstadt;64319;64319;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
65428,00;65428;65428;;;;;;;;;
55128,00;55128;55128;;;;;;;;;
64720,00;64720;64720;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
Biblis;Keine Angabe;;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
64367,00;64367;64367;;;;;;;;;
64372,00;64372;64372;;;;;;;;;
63303,00;63303;63303;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
Hösbach;Keine Angabe;;;;;;;;;;
97904,00;97904;97904;;;;;;;;;
64546,00;64546;64546;;;;;;;;;
64832,00;64832;64832;;;;;;;;;
64404,00;64404;64404;;;;;;;;;
64665,00;64665;64665;;;;;;;;;
64380,00;64380;64380;;;;;;;;;
63791,00;63791;63791;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
64331,00;64331;64331;;;;;;;;;
64823,00;64823;64823;;;;;;;;;
64720,00;64720;64720;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
